sp   ,dp   ,pr,fwd,stos,ipkt ,ibyt    ,opkt,obyt,sas,das,dtos,dir,ts_month,ts_day,ts_hour,ts_minute,ts_second,ts_msecond,te_month,te_day,te_hour,te_minute,te_second,te_msecond,tr_month,tr_day,tr_hour,tr_minute,tr_second,tr_msecond,sa1,sa2,sa3,sa4,da1,da2,da3,da4,flg_ACK,flg_PSH,flg_RST,flg_SYN,flg_FIN,sp_is_privileged,dp_is_privileged
443  ,64581,1 ,0  ,8   ,13   ,5624    ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,48       ,0         ,8       ,31    ,14     ,55       ,48       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,35 ,212,207,78 ,157,138,166,254,1      ,1      ,0      ,1      ,0      ,1               ,0
443  ,62456,1 ,0  ,0   ,14   ,5549    ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,48       ,0         ,8       ,31    ,14     ,55       ,48       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,13 ,107,42 ,12 ,157,138,178,37 ,1      ,1      ,0      ,1      ,0      ,1               ,0
443  ,49713,1 ,0  ,2   ,14   ,9771    ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,49       ,0         ,8       ,31    ,14     ,55       ,49       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,194,95 ,188,49 ,157,138,179,84 ,1      ,1      ,0      ,1      ,1      ,1               ,0
443  ,59695,2 ,0  ,0   ,74   ,85557   ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,49       ,0         ,8       ,31    ,14     ,55       ,49       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,142,250,184,34 ,157,138,179,110,0      ,0      ,0      ,0      ,0      ,1               ,0
443  ,54855,1 ,0  ,0   ,14   ,8376    ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,49       ,0         ,8       ,31    ,14     ,55       ,49       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,20 ,50 ,201,195,157,138,177,66 ,1      ,1      ,0      ,1      ,0      ,1               ,0
443  ,50291,1 ,0  ,0   ,18   ,10783   ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,49       ,0         ,8       ,31    ,14     ,55       ,49       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,216,58 ,209,54 ,157,138,179,0  ,1      ,1      ,0      ,1      ,0      ,1               ,0
443  ,56941,1 ,0  ,0   ,3    ,223     ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,49       ,0         ,8       ,31    ,14     ,55       ,49       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,142,250,180,142,157,138,35 ,213,1      ,1      ,0      ,0      ,1      ,1               ,0
443  ,49962,1 ,0  ,0   ,6    ,381     ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,49       ,0         ,8       ,31    ,14     ,55       ,49       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,92 ,123,113,35 ,157,138,24 ,107,1      ,1      ,1      ,0      ,1      ,1               ,0
8814 ,80   ,1 ,0  ,0   ,5    ,582     ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,49       ,0         ,8       ,31    ,14     ,55       ,49       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,106,57 ,158,66 ,157,138,20 ,11 ,1      ,1      ,0      ,1      ,1      ,0               ,1
443  ,55509,1 ,0  ,0   ,41   ,2996    ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,49       ,0         ,8       ,31    ,14     ,55       ,49       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,142,250,184,106,157,138,71 ,90 ,1      ,1      ,0      ,0      ,0      ,1               ,0
