,stos,tr_minute,sa1,flg_ACK,tr_month,ts_msecond,te_minute,tr_msecond,obyt,pr,te_second,sa4,tr_hour,sp   ,flg_PSH,tr_second,sa3,da1,ipkt ,dir,te_hour,sa2,flg_SYN,flg_FIN,ts_second,opkt,fwd,da2,outlier,da3,te_day,te_month,flg_RST,te_msecond,ts_month,tr_day,ibyt    ,das,ts_minute,ts_day,da4,ts_hour,sas,sp_is_privileged,dp_is_privileged,dp   ,dtos
118,0,57,13,1,8,0,55,0,0,1,56,8,14,443,1,1,179,157,13,0,14,89,1,0,56,0,0,138,0,178,31,8,0,0,8,31,8369,0,55,31,42,14,0,1,0,54027,0
119,0,57,142,1,8,0,55,0,0,1,56,138,14,443,1,1,180,157,17,0,14,250,0,0,56,0,0,138,0,23,31,8,0,0,8,31,1484,0,55,31,101,14,0,1,0,55706,0
120,0,57,20,1,8,0,55,0,0,1,56,106,14,443,1,1,212,157,5,0,14,185,0,0,56,0,0,138,0,23,31,8,0,0,8,31,577,0,55,31,26,14,0,1,0,57253,0
121,0,57,113,0,8,0,55,0,0,1,56,244,14,42015,0,1,219,157,2,0,14,25,1,0,56,0,0,138,0,22,31,8,0,0,8,31,100,0,55,31,46,14,0,0,1,23,0
122,0,57,34,1,8,0,55,0,0,1,56,73,14,443,1,1,159,157,13,0,14,149,1,1,56,0,0,138,0,166,31,8,0,0,8,31,5627,0,55,31,219,14,0,1,0,44276,0
123,0,57,142,1,8,0,55,0,0,1,56,139,14,443,1,1,10,157,5,0,14,251,0,1,56,0,0,138,0,23,31,8,1,0,8,31,373,0,55,31,99,14,0,1,0,55806,0
124,0,57,52,1,8,0,55,0,0,1,57,31,14,443,1,1,80,157,12,0,14,108,0,0,57,0,0,138,0,166,31,8,0,0,8,31,924,0,55,31,129,14,0,1,0,51862,0
125,0,57,142,1,8,0,55,0,0,1,57,46,14,443,1,1,209,157,113,0,14,251,0,0,57,0,0,138,0,167,31,8,0,0,8,31,17351,0,55,31,164,14,0,1,0,51885,0
126,0,57,142,1,8,0,55,0,0,1,57,74,14,443,1,1,184,157,7,0,14,250,1,0,57,0,0,138,0,138,31,8,0,0,8,31,948,0,55,31,137,14,0,1,0,61184,0
127,0,57,130,1,8,0,55,0,0,1,57,191,14,443,1,1,6,157,10,0,14,186,1,1,57,0,0,138,0,24,31,8,0,0,8,31,1156,0,55,31,29,14,0,1,0,62571,0
128,0,57,142,1,8,0,55,0,0,1,57,46,14,443,1,1,184,157,107,0,14,250,0,0,57,0,0,138,0,23,31,8,0,0,8,31,14735,0,55,31,29,14,0,1,0,56716,0
129,0,57,52,0,8,0,55,0,0,2,57,40,14,3478,0,1,172,157,4,0,14,112,0,0,57,0,0,138,0,107,31,8,0,0,8,31,912,0,55,31,108,14,0,0,0,50011,0
130,0,57,142,1,8,0,55,0,0,1,57,106,14,443,1,1,184,157,51,0,14,250,0,0,57,0,0,138,0,167,31,8,0,0,8,31,5285,0,55,31,164,14,0,1,0,51003,0
131,0,57,142,1,8,0,55,0,0,1,57,35,14,443,1,1,184,157,14,0,14,250,0,0,57,0,0,138,0,111,31,8,0,0,8,31,1255,0,55,31,19,14,0,1,0,44878,0
132,8,57,185,1,8,0,55,0,0,1,57,226,14,443,0,1,189,157,3,0,14,64,0,1,57,0,0,138,0,110,31,8,0,0,8,31,150,0,55,31,129,14,0,1,0,55409,0
