,tr_msecond,te_day,te_minute,te_second,flg_RST,tr_second,sa2,ts_day,te_hour,tr_minute,pr,tr_day,ibyt    ,dtos,ts_msecond,flg_PSH,tr_month,ts_second,te_msecond,flg_ACK,flg_SYN,da3,dp_is_privileged,das,sp_is_privileged,sa3,tr_hour,ts_month,obyt,te_month,sa4,outlier,ts_minute,flg_FIN,sas,stos,opkt,ts_hour,da2,da1,fwd,ipkt ,sp   ,dir,sa1,da4,dp   
84,0,31,55,53,0,1,251,31,14,57,1,31,7831,0,0,1,8,53,0,1,0,110,0,0,1,209,14,8,0,8,10,0,55,0,0,0,0,14,138,157,0,17,443,0,142,198,51098
85,0,31,55,53,0,1,250,31,14,57,1,31,223,0,0,1,8,53,0,1,0,185,0,0,1,180,14,8,0,8,142,0,55,1,0,0,0,14,138,157,0,3,443,0,142,247,53940
86,0,31,55,53,0,1,97,31,14,57,1,31,8228,0,0,1,8,53,0,1,1,24,0,0,1,201,14,8,0,8,194,0,55,0,0,0,0,14,138,157,0,15,443,0,52,32,53051
87,0,31,55,53,0,1,251,31,14,57,1,31,1650,0,0,1,8,53,0,1,0,60,0,0,1,209,14,8,0,8,35,0,55,0,0,0,0,14,138,157,0,19,443,0,142,73,57291
88,0,31,55,54,0,1,253,31,14,57,1,31,9226,0,0,1,8,54,0,1,1,10,0,0,1,57,14,8,0,8,208,0,55,1,0,4,0,14,138,157,0,15,443,0,17,34,57610
89,0,31,55,54,0,1,252,31,14,57,1,31,10269,0,0,1,8,54,0,1,1,164,0,0,1,173,14,8,0,8,62,0,55,1,0,8,0,14,138,157,0,62,443,0,37,120,63218
90,0,31,55,54,0,1,67,31,14,57,1,31,6383,0,0,1,8,54,0,1,1,167,0,0,1,69,14,8,0,8,19,0,55,0,0,0,0,14,138,157,0,23,443,0,172,3,60243
91,0,31,55,54,0,1,251,31,14,57,1,31,681,0,0,1,8,54,0,1,0,110,0,0,1,209,14,8,0,8,35,0,55,0,0,0,0,14,138,157,0,9,443,0,142,17,56883
92,0,31,55,54,0,1,186,31,14,57,1,31,6461,0,0,1,8,54,0,1,1,22,0,0,1,228,14,8,0,8,49,0,55,1,0,0,0,14,138,157,0,10,443,0,35,6,54144
93,0,31,55,54,0,1,251,31,14,57,1,31,3330,0,0,1,8,54,0,1,0,50,0,0,1,209,14,8,0,8,35,0,55,0,0,0,0,14,138,157,0,36,443,0,142,188,58779
94,0,31,55,54,0,1,15,31,14,57,1,31,253,0,0,1,8,54,0,1,1,90,0,0,1,159,14,8,0,8,234,0,55,1,0,8,0,14,138,157,0,5,443,0,64,58,49511
95,0,31,55,54,0,1,157,31,14,57,1,31,2710,0,0,1,8,54,0,1,1,164,0,0,1,4,14,8,0,8,24,0,55,1,0,0,0,14,138,157,0,15,443,0,37,120,63219
96,0,31,55,55,0,1,18,31,14,57,1,31,3894,0,0,1,8,55,0,1,1,110,0,0,1,42,14,8,0,8,171,0,55,1,0,0,0,14,138,157,0,13,443,0,104,226,62271
97,0,31,55,55,0,1,58,31,14,57,1,31,18456,0,0,1,8,55,0,1,0,184,0,0,1,209,14,8,0,8,46,0,55,0,0,0,0,14,138,157,0,135,443,0,216,193,53219
98,0,31,55,55,0,1,8,31,14,57,2,31,4106,0,0,0,8,55,0,0,0,164,0,0,1,8,14,8,0,8,8,0,55,0,0,0,0,14,138,157,0,13,443,0,8,3,63991
