===== CBOD RESULTS =====
     sp     dp     pr  fwd  stos  ipkt   ibyt      opkt  obyt  sas  das  dtos  dir  ts_month  ts_day  ts_hour  ts_minute  ts_second  ts_msecond  te_month  te_day  te_hour  te_minute  te_second  te_msecond  tr_month  tr_day  tr_hour  tr_minute  tr_second  tr_msecond  sa1  sa2  sa3  sa4  da1  da2  da3  da4  flg_ACK  flg_PSH  flg_RST  flg_SYN  flg_FIN  sp_is_privileged  dp_is_privileged
719  49340  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         31           0         8      31       14         56         31           0         8      31       14         57          1           0   94  102   61   31  157  138   20  242        0        0        0        0        0                 0                 0
725  48129  30003   1    0     4      1        50     0     0    0    0     0    0         8      31       14         56         31           0         8      31       14         56         31           0         8      31       14         57          1           0   45  143  203   59  157  138   22  238        0        0        0        1        0                 0                 0
727  58097  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         31           0         8      31       14         56         31           0         8      31       14         57          1           0   94  102   61   31  157  138   20  204        0        0        0        0        0                 0                 0
733  48129  30003   1    0     4      1        50     0     0    0    0     0    0         8      31       14         56         31           0         8      31       14         56         31           0         8      31       14         57          1           0   45  143  203   59  157  138   22  114        0        0        0        1        0                 0                 0
739  56417  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         31           0         8      31       14         56         31           0         8      31       14         57          1           0   94  102   61   31  157  138   20  224        0        0        0        0        0                 0                 0
741  33193  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         31           0         8      31       14         56         31           0         8      31       14         57          1           0   94  102   61   31  157  138   28  209        0        0        0        0        0                 0                 0
743  38804  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         31           0         8      31       14         56         31           0         8      31       14         57          1           0   94  102   61   31  157  138   24  123        0        0        0        0        0                 0                 0
744  34872  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         31           0         8      31       14         56         31           0         8      31       14         57          1           0   94  102   61   31  157  138   28   86        0        0        0        0        0                 0                 0
755  52085  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         31           0         8      31       14         56         31           0         8      31       14         57          1           0   94  102   61   31  157  138   24   30        0        0        0        0        0                 0                 0
761  41785  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         31           0         8      31       14         56         31           0         8      31       14         57          1           0   94  102   61   31  157  138   24   65        0        0        0        0        0                 0                 0
762  55964  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         31           0         8      31       14         56         31           0         8      31       14         57          1           0   94  102   61   31  157  138   28  210        0        0        0        0        0                 0                 0
763  38807  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         31           0         8      31       14         56         31           0         8      31       14         57          1           0   94  102   61   31  157  138   24  226        0        0        0        0        0                 0                 0
765  52965  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         31           0         8      31       14         56         31           0         8      31       14         57          1           0   94  102   61   31  157  138   24  179        0        0        0        0        0                 0                 0
767  47225  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         31           0         8      31       14         56         31           0         8      31       14         57          1           0   94  102   61   31  157  138   22  161        0        0        0        0        0                 0                 0
768  37239  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         31           0         8      31       14         56         31           0         8      31       14         57          1           0   94  102   61   31  157  138   28   36        0        0        0        0        0                 0                 0
769  51653  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         31           0         8      31       14         56         31           0         8      31       14         57          1           0   94  102   61   31  157  138   28  125        0        0        0        0        0                 0                 0
770  51360  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         31           0         8      31       14         56         31           0         8      31       14         57          1           0   94  102   61   31  157  138   24   59        0        0        0        0        0                 0                 0
774  52889  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         31           0         8      31       14         56         31           0         8      31       14         57          1           0   94  102   61   31  157  138   28   15        0        0        0        0        0                 0                 0
776  57146  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         31           0         8      31       14         56         31           0         8      31       14         57          1           0   94  102   61   31  157  138   22  119        0        0        0        0        0                 0                 0
779  34869  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         31           0         8      31       14         56         31           0         8      31       14         57          1           0   94  102   61   31  157  138   24  217        0        0        0        0        0                 0                 0
780  54096  50103   1    0     8      1        50     0     0    0    0     0    0         8      31       14         56         31           0         8      31       14         56         31           0         8      31       14         57          1           0  167   94  138  149  157  138   28   99        0        0        0        1        0                 0                 0
782  42235  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         31           0         8      31       14         56         31           0         8      31       14         57          1           0   94  102   61   31  157  138   28  110        0        0        0        0        0                 0                 0
805  58575  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         32           0         8      31       14         56         32           0         8      31       14         57          1           0   94  102   61   31  157  138   24   75        0        0        0        0        0                 0                 0
811  55367  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         32           0         8      31       14         56         32           0         8      31       14         57          1           0   94  102   61   31  157  138   28  109        0        0        0        0        0                 0                 0
813  51534  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         32           0         8      31       14         56         32           0         8      31       14         57          1           0   94  102   61   31  157  138   20  222        0        0        0        0        0                 0                 0
815  50921  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         32           0         8      31       14         56         32           0         8      31       14         57          1           0   94  102   61   31  157  138   22   58        0        0        0        0        0                 0                 0
822  45538  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         32           0         8      31       14         56         32           0         8      31       14         57          1           0   94  102   61   31  157  138   20  114        0        0        0        0        0                 0                 0
824  54095  49250   1    0     8      1        56     0     0    0    0     0    0         8      31       14         56         32           0         8      31       14         56         32           0         8      31       14         57          1           0  111    7   96  132  157  138   24   43        0        0        0        1        0                 0                 0
832  38981  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         32           0         8      31       14         56         32           0         8      31       14         57          1           0   94  102   61   31  157  138   20  200        0        0        0        0        0                 0                 0
842  57296  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         32           0         8      31       14         56         32           0         8      31       14         57          1           0   94  102   61   31  157  138   22  250        0        0        0        0        0                 0                 0
847  47283  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         32           0         8      31       14         56         32           0         8      31       14         57          1           0   94  102   61   31  157  138   24  215        0        0        0        0        0                 0                 0
851  41103  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         32           0         8      31       14         56         32           0         8      31       14         57          1           0   94  102   61   31  157  138   20   22        0        0        0        0        0                 0                 0
871  53112  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         32           0         8      31       14         56         32           0         8      31       14         57          1           0   94  102   61   31  157  138   28  236        0        0        0        0        0                 0                 0
873  33168  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         32           0         8      31       14         56         32           0         8      31       14         57          1           0   94  102   61   31  157  138   20  238        0        0        0        0        0                 0                 0
879  42172  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         32           0         8      31       14         56         32           0         8      31       14         57          1           0   94  102   61   31  157  138   24   78        0        0        0        0        0                 0                 0
880  42635  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         32           0         8      31       14         56         32           0         8      31       14         57          1           0   94  102   61   31  157  138   22  182        0        0        0        0        0                 0                 0
888  40103  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         32           0         8      31       14         56         32           0         8      31       14         57          1           0   94  102   61   31  157  138   22  192        0        0        0        0        0                 0                 0
891  33710  30255   1    0     8      1        56     0     0    0    0     0    0         8      31       14         56         33           0         8      31       14         56         33           0         8      31       14         57          1           0  111    7   96  132  157  138   24    6        0        0        0        1        0                 0                 0
894  44334  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         33           0         8      31       14         56         33           0         8      31       14         57          1           0   94  102   61   31  157  138   20   23        0        0        0        0        0                 0                 0
896  44561  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         33           0         8      31       14         56         33           0         8      31       14         57          1           0   94  102   61   31  157  138   20   64        0        0        0        0        0                 0                 0
897  54028  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         33           0         8      31       14         56         33           0         8      31       14         57          1           0   94  102   61   31  157  138   28  181        0        0        0        0        0                 0                 0
902  47639  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         33           0         8      31       14         56         33           0         8      31       14         57          1           0   94  102   61   31  157  138   24  180        0        0        0        0        0                 0                 0
903  34585  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         33           0         8      31       14         56         33           0         8      31       14         57          1           0   94  102   61   31  157  138   22  183        0        0        0        0        0                 0                 0
